memorial_id,url,url_type,field_path,link_purpose,specificity,domain,date_added,added_by,last_verified_date,last_http_status,last_result,action_needed,date_fixed,notes
long-bennington-lm311,https://www.cwgc.org/stories/stories/sergeant-navigatorbomber-norman-smith-rafvr-467-raaf-squadron-died-13-july-1943-age-21/,external_narrative,.external_narratives[4].original_url,,specific,cwgc.org,,holly,2026-04-06,200,OK,none,,
long-bennington-lm311,https://www.iwm.org.uk/memorials/item/memorial/99212,external_narrative,.external_narratives[2].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
longside-edge-wellington-unknown-s,https://aircrashsites.co.uk/5-jpgd/,external_narrative,.external_narratives[0].original_url,,specific,aircrashsites.co.uk,,holly,2026-04-06,200,OK,none,,
longside-edge-wellington-unknown-s,https://militaryaircraftcrashsites.blogspot.com/p/lake-district.html,external_narrative,.external_narratives[2].original_url,,specific,militaryaircraftcrashsites.blogspot.com,,holly,2026-04-06,200,OK,none,,
longside-edge-wellington-unknown-s,https://www.flickr.com/photos/pasujoba44/8749586273,external_narrative,.external_narratives[1].original_url,,specific,flickr.com,,holly,2026-04-06,200,OK,none,,
low-bradley-hz251,https://aircrashsites.co.uk/air-crash-sites-5/wellington-hz251-near-skipton/,external_narrative,.external_narratives[1].original_url,,specific,aircrashsites.co.uk,,holly,2026-04-06,200,OK,none,,
low-bradley-hz251,https://www.peakdistrictaircrashes.co.uk/crash_sites/pennines/vickers-wellington-hz251-low-bradley/,external_narrative,.external_narratives[0].original_url,,specific,peakdistrictaircrashes.co.uk,,holly,2026-04-06,200,OK,none,,
low-bradley-hz251,https://www.yorkshire-aircraft.co.uk/aircraft/planes/dales/hz251.html,external_narrative,.external_narratives[3].original_url,,specific,yorkshire-aircraft.co.uk,,holly,2026-04-06,200,OK,none,,
manea-lk789,https://aircrewremembered.com/douglas-dibbins.html,external_narrative,.external_narratives[0].original_url,,specific,aircrewremembered.com,,holly,2026-04-06,200,OK,none,,
manea-lk789,https://www.baaa-acro.com/crash/crash-handley-page-hp57-halifax-iii-near-manea-6-killed,external_narrative,.external_narratives[3].original_url,,specific,baaa-acro.com,,holly,2026-04-06,200,OK,none,,
manea-lk789,https://www.iwm.org.uk/memorials/item/memorial/97988,external_narrative,.external_narratives[1].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
marchington-wellington-mk-x,https://aircrewremembered.com/starr-joseph.html,external_narrative,.external_narratives[0].original_url,,specific,aircrewremembered.com,,holly,2026-04-06,200,OK,none,,
marchington-wellington-mk-x,https://rafweb.org/Badges/RAFHT/28.jpg,other,.squadron_badge_url,,specific,rafweb.org,,holly,2026-04-06,200,OK,none,,
marchington-wellington-mk-x,https://www.peakdistrictaircrashes.co.uk/crash_sites/midlands/vickers-wellington-lp397-mayfield/,external_narrative,.external_narratives[1].original_url,,specific,peakdistrictaircrashes.co.uk,,holly,2026-04-06,200,OK,none,,
marchington-wellington-mk-x,https://www.waymarking.com/waymarks/WMWGH1_Wellington_MK10_LP397_Nr_St_John_the_Baptist_Mayfield_Staffordshire,external_narrative,.external_narratives[3].original_url,,specific,waymarking.com,,holly,2026-04-06,200,OK,none,,
melton-mowbray-ln281,https://aircrewremembered.com/owen-norman.html,external_narrative,.external_narratives[0].original_url,,specific,aircrewremembered.com,,holly,2026-04-06,200,OK,none,,
melton-mowbray-ln281,https://branch.rafa.org.uk/melton-mowbray/what-we-do/we-will-remember-them/wellington-ln281-memorial,external_narrative,.external_narratives[1].original_url,,specific,branch.rafa.org.uk,,holly,2026-04-06,200,OK,none,,
melton-mowbray-ln281,https://historyfare.co.uk/tag/ln281/,external_narrative,.external_narratives[3].original_url,,specific,historyfare.co.uk,,holly,2026-04-06,200,OK,none,,
moordown-jp137,https://en.wikipedia.org/wiki/Moordown_air_disaster,external_narrative,.external_narratives[1].original_url,,specific,en.wikipedia.org,,holly,2026-04-06,200,OK,none,,
moordown-jp137,https://www.iwm.org.uk/memorials/item/memorial/66526,external_narrative,.external_narratives[3].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
moordown-jp137,https://www.jp137.com/,external_narrative,.external_narratives[0].original_url,,specific,jp137.com,,holly,2026-04-06,200,OK,none,,
moordown-jp137,https://www.warmemorialsonline.org.uk/memorial/255340,external_narrative,.external_narratives[2].original_url,,specific,warmemorialsonline.org.uk,,holly,2026-04-06,200,OK,none,,
mumby-bb216,https://aircrewremembered.com/mackenzie-norman.html,external_narrative,.external_narratives[0].original_url,,specific,aircrewremembered.com,,holly,2026-04-06,200,OK,none,,
mumby-bb216,https://mumby.parish.lincolnshire.gov.uk/parish-information/history-mumby/1,external_narrative,.external_narratives[4].original_url,,specific,mumby.parish.lincolnshire.gov.uk,,holly,2026-04-06,200,OK,none,,
mumby-bb216,https://www.geograph.org.uk/photo/173274,external_narrative,.external_narratives[2].original_url,,specific,geograph.org.uk,,holly,2026-04-06,200,OK,none,,
mumby-bb216,https://www.iwm.org.uk/memorials/item/memorial/54024,external_narrative,.external_narratives[1].original_url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
mundford-mk773,https://www.iwm.org.uk/memorials/item/memorial/99108,source_reference,.sources[2].url,,specific,iwm.org.uk,,holly,2026-04-06,200,OK,none,,
